0.057,0.093,0.069,0.017,0.067,0.067,0.068,0.805,0.082,0.5,0.103,0.111,0.065,0.053,0.083,0.033,0.115,0.206,0.068,0.925,0.042
0.073,0.113,0.068,0.007,0.073,0.076,0.067,0.597,0.07,0.505,0.115,0.22,0.099,0.067,0.105,0.032,0.092,0.199,0.067,0.328,0.065
0.069,0.385,0.064,0.023,0.058,0.046,0.067,0.659,0.074,0.424,0.098,0.105,0.047,0.129,0.023,0.468,0.128,0.18,0.134,0.74,0.077
0.066,0.2,0.081,0.01,0.058,0.055,0.069,0.657,0.07,0.561,0.109,0.113,0.08,0.018,0.111,0.006,0.073,0.191,0.068,0.971,0.073
0.101,0.095,0.069,0.008,0.083,0.057,0.067,0.607,0.085,0.555,0.07,0.307,0.081,0.046,0.1,0.025,0.088,0.271,0.088,0.295,0.075
0.083,0.106,0.073,0.009,0.071,0.037,0.066,0.553,0.074,0.424,0.092,0.067,0.081,0.02,0.105,0.005,0.115,0.151,0.094,0.2,0.077
0.05,0.115,0.085,0.023,0.066,0.031,0.076,0.592,0.086,0.75,0.232,0.258,0.088,0.037,0.109,-0.003,0.081,0.16,0.101,0.17,0.102
0.06,0.103,0.087,0.032,0.066,0.037,0.063,0.878,0.089,0.685,0.13,0.183,0.084,-0.006,0.111,0.02,0.081,0.121,0.088,0.185,0.069
0.092,0.102,0.069,0.021,0.082,0.031,0.079,0.871,0.065,0.661,0.08,0.043,0.084,0.045,0.09,-0.005,0.104,0.165,0.085,0.762,0.032
0.145,0.377,0.068,0.032,0.063,0.052,0.062,0.729,0.067,0.348,0.06,0.037,0.072,0.046,0.071,0.027,0.098,0.108,0.101,0.175,0.085
0.068,0.245,0.074,0.029,0.073,0.063,0.06,0.695,0.065,0.386,0.077,0.217,0.072,0.025,0.101,0.024,0.094,0.756,0.074,0.361,0.062
0.091,0.32,0.082,0.03,0.054,0.073,0.059,0.549,0.065,0.948,0.101,0.069,0.082,0.036,0.099,0.025,0.075,0.153,0.094,0.519,0.112
0.082,0.143,0.082,0.041,0.061,0.056,0.066,0.945,0.043,0.515,0.102,0.018,0.085,0.034,0.099,0.026,0.094,0.146,0.077,0.214,0.084
0.084,0.066,0.082,0.039,0.05,0.029,0.072,0.514,0.07,0.434,0.088,0.082,0.092,0.023,0.092,0.031,0.086,0.117,0.102,1.449,0.112
0.058,0.172,0.077,0.025,0.056,0.044,0.067,0.73,0.081,0.491,0.088,0.05,0.062,0.027,0.105,0.003,0.084,0.124,0.081,0.157,0.085
0.083,0.07,0.073,0.048,0.062,0.014,0.065,0.756,0.064,0.458,0.083,0.04,0.085,0.001,0.099,0.022,0.072,0.087,0.085,0.147,0.097
0.103,0.024,0.076,0.043,0.05,0.029,0.071,0.587,0.078,0.428,0.081,0.02,0.066,0.024,0.081,0.029,0.076,0.065,0.082,0.138,0.084
0.087,0.083,0.072,0.033,0.062,0.021,0.062,0.503,0.064,0.39,0.088,0.021,0.06,0.011,0.099,-0.016,0.076,0.067,0.08,0.117,0.076
0.074,0.079,0.063,0.045,0.059,0.029,0.061,0.558,0.07,0.374,0.076,0.044,0.053,0.015,0.082,0.018,0.076,0.087,0.062,0.201,0.013
0.08,0.137,0.075,0.01,0.073,0.033,0.071,0.574,0.073,0.392,0.058,-0.005,0.071,0.032,0.101,-0.018,0.072,0.077,0.068,0.114,0.069
0.082,0.104,0.083,0.016,0.066,0.032,0.057,0.579,0.072,0.328,0.066,-0.005,0.066,0.021,0.084,0.002,0.077,0.079,0.074,0.117,0.083
0.093,0.115,0.078,0.013,0.073,0.02,0.051,0.56,0.07,0.394,0.107,0.015,0.103,-0.024,0.108,0.014,0.072,0.101,0.068,0.189,0.071
0.086,0.08,0.073,0.034,0.057,0.024,0.046,0.455,0.061,0.324,0.09,-0.018,0.075,0.015,0.09,-0.003,0.077,0.059,0.083,0.122,0.066
0.113,0.05,0.068,0.034,0.063,0.012,0.065,0.377,0.086,0.536,0.097,0.033,0.083,0.01,0.098,-0.019,0.091,0.088,0.068,0.133,0.086
0.096,0.082,0.07,0.036,0.057,0.01,0.073,0.457,0.081,0.311,0.111,0.027,0.077,-0.002,0.091,0.014,0.08,0.06,0.076,0.148,0.073
0.081,0.075,0.079,0.036,0.057,0.012,0.069,0.636,0.033,0.578,0.108,0.061,0.107,0.002,0.101,0.025,0.108,0.045,0.081,0.154,0.084
0.074,0.131,0.066,0.009,0.075,0.034,0.046,0.433,0.08,0.364,0.081,0.018,0.069,-0.014,0.108,-0.011,0.069,0.075,0.069,0.541,0.114
0.074,0.116,0.077,0.018,0.05,0.039,0.057,0.492,0.083,0.301,0.114,-0.009,0.078,-0.002,0.092,0.009,0.086,0.06,0.067,0.132,0.063
0.1,0.082,0.07,0.036,0.052,0.018,0.057,0.67,0.07,0.38,0.114,0.007,0.074,-0.026,0.088,0.027,0.065,0.058,0.076,0.185,0.006
0.078,0.196,0.066,0.026,0.056,0.049,0.047,0.622,0.078,0.325,0.077,0.064,0.071,-0.035,0.083,0.06,0.114,0.034,0.092,0.314,0.086
0.078,0.101,0.066,0.031,0.047,0.039,0.049,0.419,0.093,0.354,0.075,0.038,0.067,-0.032,0.083,0.022,0.116,0.046,0.082,0.143,0.085
0.082,0.079,0.067,0.04,0.049,0.04,0.05,0.501,0.08,0.566,0.085,0.021,0.083,-0.001,0.073,0.007,0.083,0.055,0.079,0.132,0.082
0.081,0.146,0.082,0.007,0.066,0.072,0.061,0.532,0.088,0.622,0.084,0.04,0.066,0.034,0.097,-0.012,0.081,0.07,0.08,0.14,0.061
0.081,0.081,0.065,0.042,0.05,0.029,0.059,0.497,0.064,0.315,0.073,0.023,0.077,-0.009,0.087,-0.01,0.092,0.06,0.063,0.153,0.075
0.094,0.066,0.077,0.026,0.048,0.501,0.065,0.814,0.106,0.324,0.086,0.03,0.076,-0.022,0.081,0.03,0.098,0.074,0.083,0.18,0.068
0.103,0.125,0.074,0.013,0.063,0.064,0.066,0.55,0.092,0.398,0.101,0.015,0.09,-0.022,0.106,0.003,0.093,0.065,0.072,0.195,0.079
0.086,0.071,0.081,0.018,0.059,0.038,0.055,0.508,0.079,0.465,0.105,0.024,0.107,-0.029,0.106,0.004,0.115,0.074,0.104,0.153,0.094
0.084,0.053,0.079,0.035,0.066,0.024,0.054,0.456,0.098,0.361,0.103,0.065,0.095,-0.021,0.107,0.005,0.129,0.001,0.097,0.157,0.076
