0.07,0.323,0.06,0.046,0.056,0.097,0.059,0.439,0.053,2.616,0.08,0.374,0.08,0.291,0.107,0.052,0.061,0.12,0.085,0.318,0.062
0.075,0.304,0.062,0.054,0.053,0.977,0.075,0.487,0.044,0.654,0.103,0.739,0.063,0.058,0.113,0.017,0.068,0.127,0.069,0.478,0.071
0.083,0.274,0.045,0.067,0.062,0.848,0.065,1.619,0.059,0.607,0.05,0.559,0.086,0.068,0.079,0.07,0.064,0.803,0.086,0.232,0.078
0.107,0.196,0.054,0.03,0.055,0.116,0.075,0.223,0.045,0.542,0.094,0.232,0.074,0.061,0.128,0.001,0.061,0.141,0.073,0.303,0.059
0.073,0.884,0.065,0.016,0.061,0.086,0.06,0.183,0.053,0.675,0.089,0.485,0.063,0.062,0.092,0.028,0.06,0.136,0.081,0.249,0.01
0.087,0.249,0.063,0.02,0.063,0.089,0.057,0.187,0.042,0.93,0.076,0.569,0.066,0.112,0.072,0.071,0.062,0.168,0.071,0.362,0.061
0.083,0.212,0.059,0.033,0.05,0.137,0.068,0.364,0.062,0.615,0.063,0.524,0.071,0.051,0.091,0.061,0.058,0.133,0.072,0.286,0.069
0.065,0.209,0.057,0.026,0.056,0.12,0.065,0.903,0.056,0.52,0.058,0.981,0.01,0.116,0.091,0.011,0.06,0.185,0.069,0.759,0.054
0.089,0.223,0.052,0.035,0.063,0.117,0.058,0.225,0.06,0.479,0.054,0.31,0.077,0.17,0.095,0.025,0.061,0.104,0.091,0.19,0.077
0.072,1.318,0.056,0.029,0.066,0.07,0.064,0.217,0.057,0.466,0.058,0.389,0.09,0.028,0.089,0.047,0.055,1.345,0.069,0.233,0.064
0.068,0.172,0.062,0.034,0.08,0.082,0.056,0.185,0.06,0.57,0.055,0.423,0.069,0.06,0.089,0.032,0.06,0.123,0.07,0.205,0.074
0.081,0.214,0.065,0.015,0.082,0.11,0.065,0.935,0.048,0.627,0.055,0.534,0.072,0.055,0.114,0.007,0.061,0.628,0.067,0.354,0.068
0.105,0.18,0.076,0.015,0.068,0.068,0.063,0.168,0.067,0.614,0.07,0.455,0.073,0.059,0.097,0.013,0.063,0.243,0.117,0.251,0.083
0.064,0.309,0.084,0.014,0.055,0.079,0.079,0.258,0.069,0.438,0.056,0.71,0.076,0.138,0.115,0.038,0.066,0.122,0.106,0.201,0.072
0.072,0.269,0.07,0.059,0.061,0.083,0.083,0.455,0.055,0.424,0.064,0.316,0.069,0.056,0.091,0.052,0.056,0.768,0.089,0.346,0.074
0.065,1.618,0.067,0.021,0.067,0.082,0.072,0.189,0.047,0.449,0.057,0.349,0.072,0.047,0.119,0.008,0.058,0.45,0.076,0.277,0.076
0.066,0.175,0.087,0.001,0.062,0.095,0.068,0.188,0.073,0.531,0.069,0.51,0.07,0.033,0.105,0.042,0.063,0.174,0.073,0.251,0.064
0.068,0.469,0.072,0.014,0.059,0.097,0.076,0.579,0.062,0.512,0.074,0.337,0.078,0.038,0.122,0.019,0.068,0.154,0.072,0.286,0.068
0.104,0.069,0.077,0.019,0.079,0.055,0.063,0.184,0.079,0.575,0.084,1.473,0.046,0.268,0.096,0.165,0.058,0.626,0.088,0.257,0.075
0.078,0.561,0.076,0.024,0.067,0.046,0.084,0.61,0.047,0.487,0.052,0.366,0.072,0.072,0.077,0.027,0.058,0.139,0.085,0.31,0.077
0.065,1.017,0.076,0.011,0.084,0.072,0.07,0.6,0.045,0.384,0.067,0.267,0.076,0.05,0.086,0.028,0.067,0.583,0.081,0.333,0.088
0.114,0.18,0.064,0.005,0.098,0.09,0.058,0.203,0.078,0.424,0.068,0.318,0.079,0.058,0.084,0.031,0.056,0.8,0.068,0.353,0.075
0.108,0.17,0.115,0.225,0.071,0.179,0.064,0.489,0.07,0.651,0.064,0.342,0.074,0.029,0.099,0.061,0.048,0.593,0.085,0.29,0.089
0.081,0.426,0.059,0.081,0.068,0.058,0.061,0.269,0.05,0.401,0.08,0.269,0.094,0.059,0.086,0.032,0.063,0.142,0.082,0.261,0.076
0.098,0.154,0.06,0.028,0.071,0.079,0.083,0.693,0.076,0.868,0.067,0.347,0.084,0.043,0.107,0.015,0.06,0.478,0.079,0.288,0.072
0.066,0.343,0.074,0.025,0.063,0.077,0.064,0.34,0.075,0.354,0.076,0.271,0.082,0.038,0.104,0.01,0.067,0.508,0.085,0.288,0.072
0.101,0.33,0.057,0.053,0.065,0.125,0.076,0.346,0.048,0.42,0.071,0.296,0.079,0.053,0.091,0.06,0.079,0.389,0.074,0.387,0.077
0.11,0.638,0.059,0.03,0.076,0.084,0.061,0.244,0.069,0.492,0.08,0.35,0.082,0.042,0.087,0.035,0.058,0.122,0.072,0.27,0.074
