0.053,0.803,0.049,0.521,0.052,0.66,0.072,2.135,0.067,1.859,0.055,1.744,0.043,0.14,0.057,0.471,0.037,0.67,0.052,2.193,0.048
0.039,0.614,0.032,0.49,0.034,1.005,0.053,0.636,0.038,1.741,0.034,0.801,0.044,0.946,0.044,0.221,0.025,0.518,0.034,1.484,0.019
0.044,0.657,0.031,0.488,0.018,0.675,0.037,1.169,0.026,0.756,0.044,1.134,0.035,0.193,0.01,0.657,0.03,1.436,0.04,1.56,0.033
0.029,1.042,0.032,0.621,0.036,0.867,0.049,1.064,0.038,1.515,0.035,1.115,0.039,0.222,0.052,0.422,0.034,0.839,0.043,2.207,0.038
0.037,2.698,0.042,0.473,0.044,0.42,0.034,0.216,0.043,0.744,0.038,0.59,0.047,0.291,0.045,0.247,0.035,0.429,0.036,1.727,0.048
0.059,1.035,0.042,0.652,0.042,1.07,0.035,1.333,0.03,0.784,0.039,0.632,0.037,0.411,0.053,0.25,0.043,1.057,0.037,2.245,0.052
0.037,1.058,0.035,0.507,0.04,0.597,0.045,1.652,0.04,1.606,0.036,0.68,0.042,0.427,0.054,0.402,0.043,0.984,0.054,1.564,0.068
0.055,0.905,0.04,0.596,0.054,1.871,0.036,1.194,0.042,0.582,0.039,0.51,0.04,0.346,0.045,0.281,0.041,1.404,0.052,1.657,0.048
0.05,0.977,0.037,0.446,0.041,0.702,0.043,0.127,0.04,0.718,0.045,0.528,0.04,0.203,0.056,0.261,0.024,0.662,0.029,1.003,0.046
0.05,1.899,0.036,0.823,0.043,0.509,0.056,0.575,0.05,0.263,0.034,0.525,0.044,0.276,0.049,0.305,0.036,0.994,0.032,0.97,0.04
0.043,0.363,0.037,0.542,0.042,0.332,0.049,1.107,0.041,0.327,0.026,0.511,0.046,0.198,0.057,0.27,0.04,0.921,0.039,0.778,0.051
0.049,0.558,0.038,0.58,0.052,0.741,0.052,0.154,0.046,0.745,0.04,0.585,0.047,0.222,0.062,0.29,0.04,0.645,0.038,2.425,0.06
0.041,0.516,0.037,0.511,0.054,0.717,0.047,0.478,0.048,0.326,0.031,0.655,0.042,0.369,0.041,0.242,0.031,0.885,0.037,1.987,0.044
0.051,0.82,0.036,0.629,0.043,0.507,0.046,0.117,0.041,0.627,0.033,0.537,0.039,0.161,0.055,0.279,0.028,0.587,0.038,1.101,0.034
0.05,0.797,0.035,0.705,0.038,0.656,0.054,1.313,0.04,0.758,0.033,0.524,0.043,0.284,0.048,0.246,0.032,0.713,0.031,1.012,0.043
0.045,0.59,0.034,0.553,0.047,0.912,0.034,1.158,0.034,0.483,0.028,0.655,0.036,0.344,0.046,0.236,0.036,0.677,0.036,0.945,0.04
0.042,2.519,0.055,0.679,0.048,0.568,0.045,0.431,0.036,0.508,0.032,0.741,0.045,0.245,0.053,0.276,0.034,0.775,0.047,1.174,0.047
0.045,0.613,0.048,0.344,0.039,0.398,0.054,0.256,0.044,0.546,0.044,0.566,0.045,0.208,0.062,0.261,0.032,0.52,0.035,0.601,0.044
0.04,0.367,0.038,0.482,0.038,0.71,0.053,0.304,0.043,0.607,0.038,0.627,0.047,0.17,0.048,0.323,0.026,0.639,0.029,0.652,0.038
0.036,1.002,0.023,0.581,0.041,0.137,0.052,0.522,0.035,0.378,0.031,0.478,0.036,0.128,0.05,0.288,0.041,0.589,0.041,1.227,0.048
0.047,5.489,0.037,0.661,0.04,0.871,0.039,0.371,0.043,0.566,0.03,0.567,0.041,0.224,0.057,0.321,0.044,0.924,0.036,0.906,0.049
0.044,1.096,0.037,0.667,0.043,0.548,0.05,0.441,0.033,0.514,0.029,0.609,0.037,0.223,0.055,0.337,0.034,0.679,0.034,2.535,0.044
0.044,1.434,0.036,0.66,0.045,1.54,0.024,2.106,0.03,0.491,0.037,0.545,0.046,0.472,0.057,0.406,0.043,0.619,0.048,5.625,0.044
0.051,0.613,0.04,0.456,0.045,1.115,0.044,1.459,0.043,0.673,0.033,0.571,0.041,0.641,0.056,1.123,0.036,0.532,0.041,3.552,0.043
0.047,0.454,0.036,0.531,0.042,0.79,0.057,0.138,0.043,0.679,0.055,0.613,0.039,0.107,0.047,0.388,0.046,0.75,0.045,0.592,0.053
0.046,0.487,0.04,0.494,0.03,1.811,0.047,0.807,0.034,0.281,0.02,0.629,0.047,0.144,0.059,0.315,0.04,0.433,0.043,0.55,0.056
0.053,0.682,0.043,0.107,0.054,0.758,0.055,0.882,0.034,0.303,0.031,0.517,0.043,0.119,0.056,0.345,0.033,0.547,0.041,0.612,0.04
0.043,0.483,0.035,0.572,0.045,0.154,0.055,0.633,0.042,0.612,0.037,0.545,0.04,0.332,0.057,0.257,0.042,2.272,0.036,1.393,0.048
0.038,0.629,0.039,0.525,0.043,0.417,0.057,0.27,0.043,0.585,0.025,0.681,0.036,0.157,0.046,0.272,0.037,0.666,0.056,1.151,0.052
0.047,0.523,0.031,0.574,0.038,0.562,0.067,1.208,0.036,0.601,0.03,0.651,0.04,0.306,0.05,0.374,0.042,2.228,0.042,1.413,0.05
0.046,0.563,0.044,0.546,0.054,0.351,0.058,1.142,0.054,0.532,0.037,0.529,0.044,0.134,0.063,0.353,0.042,0.679,0.042,0.689,0.052
0.054,0.534,0.067,0.1,0.052,0.56,0.045,0.644,0.041,0.314,0.031,0.598,0.039,0.322,0.05,0.161,0.037,0.794,0.044,1.889,0.047
